latitude,longitude,station_name
-22.8833,-43.2333,RUA DA ALEGRIA 
-22.9000,-43.2000,MANGUE 
-22.8833,-43.2000,GAMBOA 
-22.9833,-43.2000,ARPOADOR 
-22.5500,-43.0667,SANTO ALEIXO 
-22.4819,-43.8392,UEL SANTA CECILIA TOMADA D'AGUA 
-22.1417,-43.2156,TRES RIOS 
-22.8667,-43.2167,CAJU 
-22.5014,-43.9308,VARGEM ALEGRE 
-22.5319,-43.8181,BARRAGEM DE SANTANA 
-22.9500,-43.1833,ELEVATORIA DE BOTAFOGO 
-22.5433,-43.0603,ANDORINHAS 
-22.8828,-43.1075,HORTO FLORESTAL 
-22.7056,-43.4622,NOVA IGUACU 
-22.5508,-43.3042,XEREM 
-22.9578,-43.2778,CAPELA MAYRINK 
-22.3000,-43.0333,GRANJA JURITY 
-22.9003,-43.8661,COROA GRANDE 
-22.3333,-43.4167,AVELAR 
-22.5475,-44.7814,QUELUZ (CENTRO SAUDE) 
-22.5814,-44.9650,CRUZEIRO 
-22.5833,-44.9833,CRUZEIRO 
-22.6500,-44.5833,SAO JOSE DO BARREIRO 
-22.6919,-44.9750,FAZENDA SANTA CLARA (EX BOCAINA) 
-22.7333,-44.9167,USINA BOCAINA 
-22.9681,-43.2172,LAGOA RODRIGO DE FREITAS 
-22.9583,-44.5611,FAZENDA FORTALEZA 
-22.5833,-44.9667,CRUZEIRO 
-22.6000,-44.4667,NUUCLEO COL. BANDEIRANTES 
-22.7000,-44.3167,BANANAL 
-22.5003,-44.5542,ITATIAIA 
-22.4742,-44.2289,RIBEIRAO DE SAO JOAQUIM 
-22.2431,-44.2636,ZELINDA 
-22.3392,-44.5906,FAZENDA AGULHAS NEGRAS 
-22.8322,-44.1989,LIDICE 
-22.5011,-44.0919,VOLTA REDONDA 
-22.4742,-44.2289,GLICERIO 
-22.4661,-44.4447,RESENDE 
-22.5333,-43.8167,SANTANESIA 
-22.3300,-44.5383,VISCONDE DE MAUA (ESC. AGROT) 
-22.2667,-44.8667,ITAMONTE - HORTO (DNER) 
-22.3833,-44.9667,PASSA QUATRO (INMET) 
-22.2944,-44.9392,ITANHANDU 
-22.8500,-44.2000,LIDICE 
-22.4833,-44.4453,RESENDE 
-22.5167,-44.0000,PINHEIRAL 
-22.3833,-44.9667,PASSA QUATRO 
-22.4767,-44.4744,RESENDE (Aeroporto) 
-22.6833,-45.7500,SAO BENTO DO SAPUCAI 
-22.7714,-44.0906,DESVIO VARZEA 
-22.6925,-44.0069,PASSA TRES 
-22.5711,-44.0206,ARROZAL 
-22.5294,-44.5175,RESENDE (ACAMPAMENTO) 
-22.9614,-44.0306,IBICUI 
-22.9356,-44.3958,BRACUI 
-22.7997,-45.1481,RIO DAS CANOAS 
-22.9500,-44.5500,FAZENDA FORTALEZA 
-22.2514,-45.7089,SANTA RITA DO SAPUCAI 
-22.7167,-45.2500,BAIRRO DOS LEMES 
-22.7000,-45.1500,PILOES (DA) 
-22.7167,-45.5667,VILA CAPIVARI 
-22.7333,-45.0833,LORENA 
-22.7333,-45.2000,COLONIA DO PIAGUI 
-22.7167,-45.5333,USINA DO FOJO 
-22.7500,-45.2333,FAZENDA CAPITUVA 
