latitude,longitude,station_name
-20.2500,-47.4833,PEDREGULHO 
-20.3500,-47.8167,ITUVERAVA - ACCO 
-20.3500,-47.3500,VALE DO PRATA 
-20.5167,-47.4000,FRANCA 
-20.5850,-47.8914,SAO JOAQUIM DA BARRA 
-20.6333,-47.2167,ITIRAPUA 
-20.6500,-47.6833,USINA DOURADOS (CPFL) 
-20.6500,-47.6833,PCH DOURADOS JUSANTE 
-20.7167,-47.9667,FAZENDA DO AGUDO 
-20.7333,-47.8833,ORLANDIA 
-20.7500,-47.4500,FAZENDA SAO JORGE 
-20.8000,-47.7667,FAZENDA CONQUISTA 
-20.8333,-47.3000,USINA ESMERIL 
-20.8833,-47.6167,BATATAIS 
-20.0000,-46.0000,FAZENDA JOAQUIM DOMINGOS 
-20.0136,-47.0192,DESEMBOQUE 
-20.0000,-47.0000,USINA SAO JOAQUIM 
-20.5500,-47.4000,FRANCA P11-140 
-20.6333,-47.8833,FAZENDA JUSSARA 
-20.7500,-47.8333,FAZENDA PIRAGUACU 
-20.6833,-47.9000,FAZENDA BOA ESPERANCA 
-20.6000,-47.4833,RESTINGA 
-20.6000,-47.6333,SAO JOSE DA BELA VISTA 
-20.4667,-47.6000,RIBEIRAO CORRENTE 
-20.4833,-48.3500,FAZENDA VERA CRUZ 
-20.0500,-47.7333,FAZENDA VARGEM ALEGRE 
-20.1667,-47.8333,CANINDE 
-20.3333,-47.7667,ITUVERAVA 
-20.4167,-47.8167,GUARA 
-20.5833,-47.8667,SAO JOAQUIM DA BARRA (CMEF) 
-20.6333,-47.2833,PATROCINIO PAULISTA 
-20.1667,-47.5667,CAMPO DO MIMOSO 
-20.9000,-47.9833,CANDIA 
-20.2167,-47.3500,ALTO DO LAJEADO 
-20.2833,-47.4167,FAZENDA CAFELANDIA 
-20.0833,-47.8667,FAZENDA ITAIPAVA 
-20.2833,-47.6833,FAZENDA VISTA LINDA 
-20.6333,-47.2833,PATROCINIO PAULISTA 
-20.5167,-47.9667,FAZENDA SANTA CECILIA 
-20.5436,-47.4231,FRANCA 
-20.2500,-46.3500,SAO ROQUE DE MINAS 
-20.0000,-46.0000,FURNAS 
-20.0833,-47.4167,RIFAINA P11-143 
-20.2167,-47.8167,FAZENDA CAMPO BELO 
-20.0167,-47.8500,FAZENDA CAMPESTRE (IAA) 
-20.9833,-47.6500,BRODOSQUI 
-20.7333,-47.7500,NUPORANGA - FUMEST 
-20.6919,-47.5528,FAZENDA BOA SORTE 
-20.1833,-48.6833,COLOMBIA (CPEF) 
-20.2000,-48.5000,GUARITA 
-20.3500,-48.3000,FAZENDA BREJINHO DAS ANTAS 
-20.4500,-48.0167,IPUA 
-20.4536,-48.4508,PONTE JOAQUIM JUSTINO 
-20.4967,-48.9403,GUARACI 
-20.5667,-48.5667,BARRETOS 
-20.6167,-48.7667,IBITU 
-20.6833,-48.1667,FAZENDA SAO JOSE 
-20.6833,-48.4167,JABORANDI 
-20.7831,-48.3325,TERRA ROXA 
-20.7333,-48.5500,COLINA 
-20.7167,-48.9333,TAMANDUA 
-20.7333,-48.0500,MORRO AGUDO 
-20.8167,-48.7833,FAZENDA NATA 
-20.8167,-48.4833,FAZENDA MARAMBAIA 
-20.8500,-48.8500,CAJOBI 
-20.8500,-48.8000,MONTE VERDE PAULISTA 
-20.8667,-48.2833,VIRADOURO (CPEF) 
-20.9000,-48.2000,FAZENDA TRES BARRAS 
-20.9000,-48.6333,MONTE AZUL PAULISTA 
-20.9992,-48.0244,DESENGANO 
-20.5500,-48.5667,BARRETOS 
-20.7167,-48.5500,COLINA (IAC) 
-20.1333,-48.7000,PLANURA 
-20.7333,-48.9000,OLIMPIA 
-20.4500,-48.4500,FAZENDA JATAI 
-20.8000,-48.8167,SEVERINIA (CPEF) 
-20.6500,-48.5667,PALMAR (CPEF) 
-20.3167,-48.3167,GUAIRA 
-20.1833,-48.0333,MIGUELOPOLIS 
-20.1667,-48.0167,MIGUELOPOLIS 
-20.9833,-48.3333,IBITIUVA 
-20.6333,-48.4833,FAZENDA S.FRANCISCO DO TURVO 
-20.3167,-48.1000,AGROPECUARIA PARAISO 
-20.4333,-48.8833,FAZENDA BOCAINA 
-20.5500,-48.9833,FAZENDA CASA BRANCA 
